Date : 2023-06-19 09:54:06
Directory : /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react
Total : 193 files,  48325 codes, 2982 comments, 1818 blanks, all 53125 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/components/Dropzone.jsx                                             | JavaScript         |         40 |          0 |          2 |         42 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/components/EditProfile.jsx                                          | JavaScript         |        203 |          0 |          3 |        206 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/components/MemberTable.jsx                                          | JavaScript         |         88 |          3 |          2 |         93 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/components/Navbar.jsx                                               | JavaScript         |         67 |          1 |          4 |         72 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/components/NextStepsList.jsx                                        | JavaScript         |        136 |        114 |         23 |        273 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/components/Q&A/Q&AComponent.jsx                                     | JavaScript         |         38 |          0 |          2 |         40 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/components/Q&A/data.js                                              | JavaScript         |         30 |          0 |          1 |         31 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/components/Rating.jsx                                               | JavaScript         |         23 |          0 |          2 |         25 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/components/Sidebar.jsx                                              | JavaScript         |         26 |          0 |          2 |         28 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/components/SortableList/SortableListComponent.jsx                   | JavaScript         |         90 |          6 |          2 |         98 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/components/SortableList/SortableListComponentChallenge.jsx          | JavaScript         |         94 |          6 |          3 |        103 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/components/SortableList/challengedata.js                            | JavaScript         |         22 |          0 |          1 |         23 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/components/SortableList/data.js                                     | JavaScript         |         30 |          0 |          1 |         31 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/components/TeamMemberStack.jsx                                      | JavaScript         |        265 |          6 |         26 |        297 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/components/TeamMemberTable.jsx                                      | JavaScript         |         84 |         21 |          3 |        108 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/components/Timeline/Step.jsx                                        | JavaScript         |         32 |          0 |          2 |         34 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/components/Timeline/StepCircle.jsx                                  | JavaScript         |         20 |          0 |          2 |         22 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/components/Timeline/TimelineComponent.jsx                           | JavaScript         |         37 |          0 |          2 |         39 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/components/Timeline/data.js                                         | JavaScript         |         22 |          0 |          1 |         23 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/components/Timeline/useStep.jsx                                     | JavaScript         |         45 |          0 |          2 |         47 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/components/TodoList.jsx                                             | JavaScript         |        133 |          0 |         11 |        144 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/components/data.js                                                  | JavaScript         |         50 |          0 |          1 |         51 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/components/listdata.js                                              | JavaScript         |         30 |          0 |          1 |         31 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/components/olddata.js                                               | JavaScript         |         62 |          0 |          1 |         63 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/hooks/scalableParse.js                                              | JavaScript         |        208 |          7 |         31 |        246 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/hooks/useImageLoaded.js                                             | JavaScript         |         23 |          0 |          4 |         27 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/hooks/useLexicalNodeParse.js                                        | JavaScript         |        365 |         21 |         53 |        439 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/hooks/useScrollToTop.js                                             | JavaScript         |          8 |          0 |          2 |         10 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/hooks/useSession.js                                                 | JavaScript         |         17 |          0 |          7 |         24 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/index.js                                                            | JavaScript         |         39 |          1 |          6 |         46 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/layouts/CollabPageLayout.jsx                                        | JavaScript         |         23 |          0 |          2 |         25 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/layouts/RootLayout.jsx                                              | JavaScript         |         24 |          0 |          2 |         26 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/pages/Account.jsx                                                   | JavaScript         |        108 |          8 |         16 |        132 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/pages/Dashboard.jsx                                                 | JavaScript         |        377 |         46 |         41 |        464 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/pages/GoogleLogin.jsx                                               | JavaScript         |          0 |         16 |          1 |         17 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/pages/LazyLoadDashboard.jsx                                         | JavaScript         |         31 |          0 |          6 |         37 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/pages/Login.jsx                                                     | JavaScript         |         49 |         53 |          4 |        106 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/pages/MasterTodoList.jsx                                            | JavaScript         |         48 |          0 |          9 |         57 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/pages/collabs/CollabPageAllAttachments.jsx                          | JavaScript         |         18 |          0 |          3 |         21 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/pages/collabs/CollabPageChallenges.jsx                              | JavaScript         |         18 |          0 |          3 |         21 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/pages/collabs/CollabPageCurrentState.jsx                            | JavaScript         |         20 |          0 |          3 |         23 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/pages/collabs/CollabPageHome.jsx                                    | JavaScript         |        223 |          4 |         18 |        245 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/pages/collabs/CollabPageJourney.jsx                                 | JavaScript         |        116 |         18 |          4 |        138 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/pages/collabs/CollabPageLegalDocuments.jsx                          | JavaScript         |         25 |          0 |          3 |         28 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/pages/collabs/CollabPageNotes.jsx                                   | JavaScript         |         17 |          1 |          4 |         22 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/pages/collabs/CollabPagePricing.jsx                                 | JavaScript         |         25 |          0 |          3 |         28 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/pages/collabs/CollabPageProposals.jsx                               | JavaScript         |         25 |          0 |          3 |         28 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/pages/collabs/CollabPageQuestions.jsx                               | JavaScript         |         21 |          0 |          3 |         24 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/pages/collabs/CollabPageShowcase.jsx                                | JavaScript         |         23 |         10 |          5 |         38 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/pages/collabs/CollabPageTeam.jsx                                    | JavaScript         |         17 |         14 |          3 |         34 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/pages/collabs/CollabPageTimeline.jsx                                | JavaScript         |         12 |          0 |          3 |         15 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/pages/compliance/Privacy.jsx                                        | JavaScript         |        386 |          0 |          6 |        392 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/pages/compliance/TermsOfService.jsx                                 | JavaScript         |        574 |          0 |          2 |        576 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/privateRoute.jsx                                                    | JavaScript         |         35 |         34 |         11 |         80 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/routes.jsx                                                          | JavaScript         |        127 |         34 |         12 |        173 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/styles.css                                                          | CSS                |        781 |          9 |        145 |        935 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/supabase/clientapp.js                                               | JavaScript         |         28 |          0 |          5 |         33 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/util/helper.js                                                      | JavaScript         |          5 |         20 |          4 |         29 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/tsconfig.json                                                           | JSON with Comments |         26 |          0 |          1 |         27 |
| Total                                                                                                                             |                    |     48,325 |      2,982 |      1,818 |     53,125 |
+-----------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
